instrument_key,exchange_token,"SYMBOL 
",name,last_price
NSE_EQ|INE921B01025,31107,DBSTOCKBRO,DB (INT) STOCK BROKERS,47.72
NSE_EQ|INE087B01017,16657,ANIKINDS,ANIK INDUSTRIES LTD,48.08
NSE_EQ|INE558D01021,4007,CORALFINAC,CORAL INDIA FIN & HOUS LT,48.1
NSE_EQ|INE549A01026,1375,HCC,HINDUSTAN CONSTRUCTION CO,48.86
NSE_EQ|INE09E501017,1565,RVHL,RAVINDER HEIGHTS LIMITED,48.92
NSE_EQ|INE841B01017,16933,INDBANK,INDBANK MERCH BANK,49.18
NSE_EQ|INE087H01022,12026,RENUKA,SHREE RENUKA SUGARS LTD,49.3
NSE_EQ|INE497D01022,17541,DAMODARIND,DAMODAR INDUSTRIES LTD,49.43
NSE_EQ|INE551W01018,15228,UJJIVANSFB,UJJIVAN SMALL FINANC BANK,49.58
NSE_EQ|INE040H01021,12018,SUZLON,SUZLON ENERGY LIMITED,49.87
NSE_EQ|INE592A01026,2496,ORIENTPPR,ORIENT PAPER AND INDS LTD,50.24
NSE_EQ|INE642Y01029,4924,HINDCON,HINDCON CHEMICALS LIMITED,50.38
NSE_EQ|INE542C01019,2439,NKIND,NK INDUSTRIES LTD,51.77
NSE_EQ|INE727S01012,21687,BRNL,BHARAT ROAD NETWORK LTD,51.9
NSE_EQ|INE0NN701020,17778,ATL,ALLCARGO TERMINALS LTD,51.94
NSE_EQ|INE387I01016,14957,MAGNUM,MAGNUM VENTURES LTD.,51.99
NSE_EQ|INE083A01026,2259,MOREPENLAB,MOREPEN LAB. LTD,52.05
NSE_EQ|INE569C01020,13111,ORIENTCER,ORIENT CERATECH LIMITED,52.5
NSE_EQ|INE287C01037,7169,MICEL,MIC ELECTRONICS LTD,52.85
NSE_EQ|INE818W01011,19878,ESAFSFB,ESAF SMALL FINANCE BANK L,53
NSE_EQ|INE947J01015,17722,DEN,DEN NETWORKS LTD,53.23
NSE_EQ|INE615R01029,9378,TRU,TRUCAP FINANCE LIMITED,53.27
NSE_EQ|INE735W01017,17358,UTKARSHBNK,UTKARSH SMALL FIN BANK L,53.84
NSE_EQ|INE816B01035,24532,FILATEX,FILATEX INDIA LTD,54.25
NSE_EQ|INE294G01026,366,ROML,RAJ OIL MILLS LIMITED,54.28
NSE_EQ|INE0ECP01024,17053,HMAAGRO,HMA AGRO INDUSTRIES LTD,54.68
NSE_EQ|INE785M01013,29124,PCJEWELLER,PC JEWELLER LTD,54.84
NSE_EQ|INE794W01014,10370,MODTHREAD,MODERN THREADS INDIA LTD,54.86
NSE_EQ|INE912H01013,18029,MBLINFRA,MBL INFRASTRUCTURE LTD,54.9
NSE_EQ|INE426Z01016,8797,OBCL,ORISSA BENGAL CARRIER LTD,55.84
NSE_EQ|INE116G01013,11220,VARDHACRLC,VARDHAMAN ACRYLICS LTD,55.88
NSE_EQ|INE824Q01011,7482,MANAKSTEEL,MANAKSIA STEELS LTD,56.33
NSE_EQ|INE840Y01029,9939,ONEPOINT,ONE POINT ONE SOL LTD,56.91
NSE_EQ|INE691A01018,11223,UCOBANK,UCO BANK,56.94
NSE_EQ|INE210C01013,14557,AROGRANITE,ARO GRANITE IND. LTD.,57
NSE_EQ|INE500A01029,817,DCW,DCW LTD,57.23
NSE_EQ|INE645H01027,13801,SUTLEJTEX,SUTLEJ TEXT & INDUS LTD,57.57
NSE_EQ|INE412G01024,2513,BCLIND,BCL INDUSTRIES LIMITED,58.39
NSE_EQ|INE335K01011,11165,COFFEEDAY,COFFEE DAY ENTERPRISE LTD,58.52
NSE_EQ|INE262A01018,19698,HMT,HMT LTD -,58.83
NSE_EQ|INE139I01011,15073,BVCL,BARAK VALLEY CEM. LTD.,59
NSE_EQ|INE583V01021,10343,RADHIKAJWE,RADHIKA JEWELTECH LIMITED,59.36
NSE_EQ|INE0NNS01018,14180,NSLNISP,NMDC STEEL LIMITED,59.8
NSE_EQ|INF082J01408,15330,QGOLDHALF,QUANTUM GOLD FUND,60.37
NSE_EQ|INE505Y01010,3807,VINEETLAB,VINEET LABORATORIES LTD,61.43
NSE_EQ|INE947I01017,16807,LOTUSEYE,LOTUS EYE HOSP & INST L,61.88
NSE_EQ|INE02H701025,22477,NOVAAGRI,NOVA AGRITECH LIMITED,61.93
NSE_EQ|INE829A01014,4136,BIOFILCHEM,BIOFIL CHEM & PHARMA LTD,62.42
NSE_EQ|INE978G01016,11935,SPLIL,SPL INDUSTRIES LIMITED,62.69
NSE_EQ|INE608A01012,21001,PSB,PUNJAB & SIND BANK,63.04
NSE_EQ|INE03HW01020,18021,VLEGOV,VL E GOV AND IT SOL LTD,63.08
NSE_EQ|INE419A01022,11647,KOTARISUG,KOTHARI SUG & CHEM LTD.,63.41
NSE_EQ|INE392B01011,9342,PNC,PRITISH NANDY COMMUNICATI,63.65
